RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:49:35::966,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:41::030,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:46::094,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:51::158,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:56::223,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:50:01::286,Temp Test,11.375,22.25,0.4375,10.875
2022/07/15/ 14:50:06::351,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:50:11::414,Temp Test,11.375,22.25,0.4375,10.875
2022/07/15/ 14:50:16::479,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:50:21::543,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:50:26::607,Temp Test,11.375,22.3125,0.375,10.9375
2022/07/15/ 14:50:31::671,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:50:36::735,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:50:41::798,Temp Test,11.375,22.3125,0.375,10.9375
2022/07/15/ 14:50:46::862,Temp Test,11.375,22.3125,0.5,10.9375
2022/07/15/ 14:50:51::927,Temp Test,11.375,22.25,0.375,10.875
2022/07/15/ 14:50:56::992,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:51:02::056,Temp Test,11.375,22.25,0.375,10.875
2022/07/15/ 14:51:07::135,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:51:12::184,Temp Test,11.375,22.3125,0.375,10.9375
2022/07/15/ 14:51:17::248,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:51:22::312,Temp Test,11.375,22.25,0.375,10.875
2022/07/15/ 14:51:27::376,Temp Test,11.3125,22.25,0.375,10.9375
2022/07/15/ 14:51:32::440,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:51:37::505,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:51:42::569,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:51:47::632,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:51:52::696,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:51:57::760,Temp Test,11.375,22.3125,0.4375,10.9375
2022/07/15/ 14:52:02::823,Temp Test,11.3125,22.3125,0.375,11.0
2022/07/15/ 14:52:07::888,Temp Test,11.3125,22.3125,0.375,11.0
2022/07/15/ 14:52:12::952,Temp Test,11.3125,22.25,0.375,10.9375
2022/07/15/ 14:52:18::021,Temp Test,11.3125,22.3125,0.4375,11.0
2022/07/15/ 14:52:23::080,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:52:28::144,Temp Test,11.3125,22.25,0.375,10.9375
2022/07/15/ 14:52:33::209,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:52:38::274,Temp Test,11.25,22.25,0.4375,11.0
2022/07/15/ 14:52:43::338,Temp Test,11.3125,22.25,0.4375,10.9375
2022/07/15/ 14:52:48::402,Temp Test,11.3125,22.25,0.4375,10.9375
